label,message
ham,"Hey, are we still meeting today?"
spam,"Congratulations! You have won a free iPhone. Click now!"
ham,"Please send me the notes after class."
spam,"Win cash prizes now!!! Reply WIN to 9090."
ham,"I will call you later."
spam,"Limited offer! Buy now and get 50% discount."
ham,"Can you help me with the assignment?"
spam,"You have been selected for a lottery prize."
ham,"Let's go for lunch tomorrow."
spam,"URGENT! Your account has been compromised. Verify now!"
ham,"Where are you now?"
spam,"Free entry in a weekly competition. Text YES now!"
ham,"Don't forget the meeting at 5 PM."
spam,"Claim your free recharge today."
ham,"I reached home safely."
spam,"Earn money quickly from home without investment."
ham,"Can you share the project file?"
spam,"Exclusive deal just for you! Hurry up!"
ham,"Good morning, have a nice day."
spam,"Your mobile number has won ₹1,00,000."
ham,"See you in college tomorrow."
spam,"Act now to receive your reward."
ham,"Thanks for your help yesterday."
spam,"Get cheap loans instantly. Apply now!"
ham,"Let's study together tonight."
spam,"You are selected for a free vacation package."
ham,"Please check your email."
spam,"Download this app and earn rewards."
ham,"I am on my way."
spam,"Final warning! Update your bank details immediately."